feed_title,entry_title,entry_link,entry_published_date,entry_summary,entry_content,publication_date
www.espn.com - TOP,Follow live: Steelers look to extend five-game win streak against struggling Browns,https://www.espn.com/nfl/game/_/gameId/401671875/steelers-browns,"Thu, 21 Nov 2024 20:55:55 EST",,Failed to fetch content,2024-11-21
www.espn.com - TOP,"Ohtani, Judge capture unanimous MVP honors",https://www.espn.com/mlb/story/_/id/42530953/dodgers-shohei-ohtani-yankees-aaron-judge-unanimous-mvps,"Thu, 21 Nov 2024 20:42:50 EST","The Dodgers' Shohei Ohtani won his second straight unanimous MVP award, and Yankees star Aaron Judge became a two-time MVP on Thursday.",Failed to fetch content,2024-11-21
www.espn.com - TOP,"QB Underwood, No. 1 recruit for '25, flips to U-M",https://www.espn.com/college-sports/recruiting/football/story/_/id/42531006/bryce-underwood-no-1-recruit-2025-flips-michigan-lsu,"Thu, 21 Nov 2024 20:42:50 EST","Quarterback Bryce Underwood, the No. 1 recruit in the 2025 ESPN 300, who is from Belleville, Michigan, is flipping his commitment from LSU to the Wolverines.",Failed to fetch content,2024-11-21
www.espn.com - TOP,Sources: Patriots' Kraft denied again in HOF bid,https://www.espn.com/nfl/story/_/id/42529180/sources-hof-committee-passes-patriots-robert-kraft-again,"Thu, 21 Nov 2024 20:42:50 EST","Robert Kraft, who had been considered a favorite for the 2025 class of the Pro Football Hall of Fame, has missed out again, sources told ESPN.",Failed to fetch content,2024-11-21
www.espn.com - TOP,"Giants' Jones takes responsibility, ponders future",https://www.espn.com/nfl/story/_/id/42529597/giants-qb-daniel-jones-regretful-losses-processing-future,"Thu, 21 Nov 2024 20:42:50 EST","In his first public comments since losing his starting quarterback job with the Giants, Daniel Jones said he takes ""full responsibility"" for the Giants' losses and is still processing his future.",Failed to fetch content,2024-11-21
www.espn.com - TOP,"George has bone bruise, to miss at least 2 games",https://www.espn.com/nba/story/_/id/42530352/76ers-tests-show-no-structural-damage-paul-george-knee,"Thu, 21 Nov 2024 20:42:50 EST","Philadelphia 76ers forward Paul George has a bone bruise on his left knee and will miss two games, the team said Thursday.",Failed to fetch content,2024-11-21
www.espn.com - TOP,Fever's Clark joins Cincinnati NWSL expansion bid,https://www.espn.com/soccer/story/_/id/42530907/caitlin-clark-part-cincinnati-group-nwsl-expansion-bid,"Thu, 21 Nov 2024 20:42:50 EST",Indiana Fever star Caitlin Clark is a member of the ownership group trying to bring an NWSL expansion team to Cincinnati.,Failed to fetch content,2024-11-21
www.espn.com - TOP,"City OKs, then reverses $23M to fix Rays' stadium",https://www.espn.com/mlb/story/_/id/42530207/st-petersburg-approves-23m-repair-tropicana-field-roof,"Thu, 21 Nov 2024 20:42:50 EST",The St. Petersburg City Council reversed an earlier decision to spend more than $23 million to repair the roof of Tropicana Field by the start of the 2026 season.,Failed to fetch content,2024-11-21
www.espn.com - TOP,Caps' Ovechkin out 4-6 weeks with leg fracture,https://www.espn.com/nhl/story/_/id/42530455/capitals-star-alex-ovechkin-4-6-weeks-broken-fibula,"Thu, 21 Nov 2024 20:42:50 EST","Alex Ovechkin has a broken left fibula and could be out up to six weeks, pausing his pursuit of Wayne Gretzky's all-time NHL goals record.",Failed to fetch content,2024-11-21
www.espn.com - TOP,"MLB Awards Week results, analysis: Judge and Ohtani both unanimous MVP winners",https://www.espn.com/mlb/story/_/id/42372887/2024-mlb-awards-mvp-cy-young-rookie-manager-year-predictions-results-analysis,"Thu, 21 Nov 2024 20:12:19 EST",Baseball's best collected their hardware this week -- culminating with the Most Valuable Players in the AL and NL.,Failed to fetch content,2024-11-21
www.espn.com - TOP,"Chris Paul, Victor Wembanyama and the duo that could change the NBA",https://www.espn.com/nba/story/_/id/42509302/how-chris-paul-victor-wembanyama-evolving-together,"Thu, 21 Nov 2024 20:58:23 EST",The Hall of Fame point guard joined the sophomore phenom on the San Antonio Spurs this season.﻿,Failed to fetch content,2024-11-21
