,Unnamed: 0,headline,word_count,char_count,avg_word_length,all_capitalized_word_count,punctuation_count,exclamation_count,question_mark_count,readability_score,smog_index,quotation_count,vocab_variety,sensational_words_count,absolute_words_count,factuality_words_count,subjectivity_score,objective_score,count_numerics,sentiment,label
12335,12335,it was decided to hold a match for the first football team in zamalek club against tunisian esperance in the fourth round of the group stage matches of the african champions league.,32,181,4.6875,0,1,0,0,64.38,0.0,0,0.84375,0,0,0,0.0,0.0,0,neutral,True
11587,11587,"tariq al-subaie, the uncle of big ramy, the bodybuilding champion, expressed his grief after his nephew lost the mr. olympia title this year, and contented himself with fifth place in the tournament.",32,199,5.25,0,7,0,0,63.7,0.0,0,0.875,0,0,0,0.0,0.0,0,positive,True
20485,20485,david notwani: musimani's strategy with al-ahly is successful,8,61,6.75,0,3,0,0,29.52,0.0,0,1.0,0,0,0,0.0,0.0,0,positive,True
20291,20291,"al-ahly was subjected to clear injustice, but the players and the coach bear responsibility for the loss",17,104,5.176470588235294,0,2,0,0,54.22,0.0,0,0.8823529411764706,0,0,0,0.0,0.0,0,neutral,True
19331,19331,a great run at all levels from the eagles,9,41,3.6666666666666665,0,0,0,0,96.18,0.0,0,1.0,0,1,0,0.0,0.0,0,positive,True
8743,8743,the board of directors of the federation will complete its meeting at 2:00 noon tomorrow and will receive the media at 5:00 pm to announce its decisions,27,152,4.666666666666667,0,2,0,0,52.53,0.0,0,0.7777777777777778,0,0,0,0.0,0.0,4,neutral,True
2710,2710,"may god have mercy on the victims of the devastating earthquake in syria and turkey, and all the best wishes for a speedy recovery for the injured",27,146,4.444444444444445,0,1,0,0,60.99,0.0,0,0.8148148148148148,0,1,0,0.0,0.0,0,neutral,True
18223,18223,"roy vittoria, on the authority of karim fouad: i am very impressed with his performance and know his playing style..and this is the reason why he was not included!
#ontime_news https://t.co/etaazp9ojb",31,200,5.483870967741935,0,12,1,0,64.2,0.0,0,0.935483870967742,0,0,0,0.0,0.0,1,positive,True
19067,19067,"imad miteb arrives in saudi arabia amidst a great celebration
hadary was the first to receive him.",17,98,4.823529411764706,0,1,0,0,71.14,0.0,0,1.0,0,0,0,0.0,0.0,0,neutral,True
10285,10285,happy new year on the occasion of isra and miraj..,10,50,4.1,0,2,0,0,69.79,0.0,0,1.0,0,0,0,0.0,0.0,0,neutral,True
1338,1338,urgent arrival of the young africans team to burj al arab stadium,12,65,4.5,0,0,0,0,84.68,0.0,0,1.0,0,0,0,0.0,0.0,0,neutral,True
